"Year","Australia","New.South.Wales","Northern.Territory","Queensland","South.Australia","Tasmania","Victoria","Western.Australia","Global","Annotation"
2006,0.5,1.08,-0.01,0.86,0.89,-0.27,0.39,0.21,0.52,"2006-07 fires"
2007,0.76,1.27,0.28,0.73,1.2,0.77,1.21,0.65,0.51,""
2008,0.45,0.34,0.52,0.4,0.55,0.06,0.4,0.46,0.41,"2008-09: Black Saturday"
2009,0.93,1.46,0.65,0.85,1.26,0.51,1.07,0.83,0.51,""
2010,0.33,0.23,-0.04,0.16,0.05,0.45,0.47,0.79,0.57,""
2011,0,0.44,-0.8,-0.18,0.65,0.3,0.56,0.07,0.44,""
2012,0.24,0.22,-0.15,0.13,0.54,0.49,0.48,0.38,0.48,""
2013,1.33,1.29,1.48,1.45,1.65,0.62,1.08,1.1,0.53,""
2014,1.04,1.48,0.44,1.19,1.43,0.79,1.2,0.95,0.6,""
2015,0.94,0.99,0.4,1.23,0.94,0.18,0.8,1.04,0.78,""
2016,0.99,1.13,1.14,1.42,0.69,0.83,0.94,0.71,0.81,""
2017,1.06,1.45,0.85,1.61,1.13,0.54,0.93,0.67,0.7,""
2018,1.12,1.63,1.08,1.34,1.25,0.7,1.16,0.78,0.61,""
2019,1.52,1.89,1.48,1.28,1.46,0.39,1.08,1.69,NA,"2019-2020 fires"
