"year","week","name","value","week_abs"
2019,39,"BULGA",328,8
2019,39,"CAMBERWELL",507,8
2019,39,"CAMDEN",303,8
2019,39,"CARRINGTON",325,8
2019,39,"CHULLORA",298,8
2019,39,"EARLWOOD",287,8
2019,39,"GOULBURN",-7,8
2019,39,"GUNNEDAH",335,8
2019,39,"LIVERPOOL",307,8
2019,39,"NARRABRI",157,8
2019,39,"NEWCASTLE",305,8
2019,39,"OAKDALE",317,8
2019,39,"ORANGE",331,8
2019,39,"PROSPECT",319,8
2019,39,"RANDWICK",311,8
2019,39,"RICHMOND",314,8
2019,39,"SINGLETON",305,8
2019,39,"STOCKTON",503,8
2019,39,"TAMWORTH",385,8
2019,39,"WARKWORTH",419,8
2019,39,"WOLLONGONG",239,8
2019,39,"WYBONG",293,8
2019,39,"WYONG",299,8
2019,40,"ABERDEEN",426,9
2019,40,"ALBURY",365,9
2019,40,"ARMIDALE",563,9
2019,40,"BARGO",371,9
2019,40,"BATHURST",396,9
2019,40,"BERESFIELD",359,9
2019,40,"BRINGELLY",366,9
2019,40,"BULGA",400,9
2019,40,"CAMBERWELL",545,9
2019,40,"CAMDEN",339,9
2019,40,"CARRINGTON",432,9
2019,40,"CHULLORA",332,9
2019,40,"EARLWOOD",335,9
2019,40,"GOULBURN",-7,9
2019,40,"GUNNEDAH",407,9
2019,40,"LIVERPOOL",368,9
2019,40,"NARRABRI",324,9
2019,40,"NEWCASTLE",399,9
2019,40,"OAKDALE",353,9
2019,40,"ORANGE",306,9
2019,40,"PROSPECT",378,9
2019,40,"RANDWICK",364,9
2019,40,"RICHMOND",345,9
2019,40,"SINGLETON",421,9
2019,40,"STOCKTON",673,9
2019,40,"TAMWORTH",479,9
2019,40,"WARKWORTH",493,9
2019,40,"WOLLONGONG",327,9
2019,40,"WYBONG",437,9
2019,40,"WYONG",324,9
2019,41,"ABERDEEN",287,10
2019,41,"ALBURY",157,10
2019,41,"ARMIDALE",398,10
2019,41,"BARGO",274,10
2019,41,"BATHURST",140,10
2019,41,"BERESFIELD",265,10
2019,41,"BRINGELLY",264,10
2019,41,"BULGA",229,10
2019,41,"CAMBERWELL",283,10
2019,41,"CAMDEN",267,10
2019,41,"CARRINGTON",216,10
2019,41,"CHULLORA",225,10
2019,41,"EARLWOOD",242,10
2019,41,"GOULBURN",-7,10
2019,41,"GUNNEDAH",487,10
2019,41,"LIVERPOOL",176,10
2019,41,"NARRABRI",498,10
2019,41,"NEWCASTLE",229,10
2019,41,"OAKDALE",282,10
2019,41,"ORANGE",177,10
2019,41,"PROSPECT",262,10
2019,41,"RANDWICK",262,10
2019,41,"RICHMOND",273,10
2019,41,"SINGLETON",229,10
2019,41,"STOCKTON",352,10
2019,41,"TAMWORTH",415,10
2019,41,"WARKWORTH",302,10
2019,41,"WOLLONGONG",167,10
2019,41,"WYBONG",311,10
2019,41,"WYONG",259,10
2019,42,"ABERDEEN",494,11
2019,42,"ALBURY",210,11
2019,42,"ARMIDALE",728,11
2019,42,"BARGO",351,11
2019,42,"BATHURST",261,11
2019,42,"BERESFIELD",358,11
2019,42,"BRINGELLY",348,11
2019,42,"BULGA",392,11
2019,42,"CAMBERWELL",679,11
2019,42,"CAMDEN",339,11
2019,42,"CARRINGTON",369,11
2019,42,"CHULLORA",328,11
2019,42,"EARLWOOD",310,11
2019,42,"GOULBURN",-7,11
2019,42,"GUNNEDAH",511,11
2019,42,"LIVERPOOL",318,11
2019,42,"NARRABRI",587,11
2019,42,"NEWCASTLE",350,11
2019,42,"OAKDALE",354,11
2019,42,"ORANGE",227,11
2019,42,"PROSPECT",357,11
