"week","name","state","DOY","value"
5,"X20102011","Victoria",224,0.7
5,"X20112012","New South Wales",224,432
5,"X20112012","Queensland",224,1528
5,"X20112012","Victoria",224,14.3
5,"X20122013","New South Wales",224,206
5,"X20122013","Queensland",224,1336
5,"X20122013","Victoria",224,15.4
5,"X20132014","New South Wales",224,90
5,"X20132014","Queensland",224,656
5,"X20132014","Victoria",224,9.5
5,"X20142015","New South Wales",224,631
5,"X20142015","Queensland",224,878
5,"X20142015","Victoria",224,8.4
5,"X20152016","New South Wales",224,102
5,"X20152016","Queensland",224,539
5,"X20152016","Victoria",224,2.6
5,"X20162017","New South Wales",224,263
5,"X20162017","Queensland",224,1101
5,"X20162017","Victoria",224,5.5
5,"X20172018","New South Wales",224,319
5,"X20172018","Queensland",224,671
5,"X20172018","Victoria",224,20.3
5,"X20182019","New South Wales",224,439
5,"X20182019","Queensland",224,1118
5,"X20182019","Victoria",224,16.3
5,"X20192020","New South Wales",224,217
5,"X20192020","Queensland",224,671
5,"X20192020","Victoria",224,8.5
6,"X20022003","New South Wales",273,361.1
6,"X20022003","Queensland",273,575
6,"X20022003","Victoria",273,17.5
6,"X20032004","New South Wales",273,309
6,"X20032004","Queensland",273,408
6,"X20032004","Victoria",273,19.2
6,"X20042005","New South Wales",273,124
6,"X20042005","Queensland",273,926
6,"X20042005","Victoria",273,0.7
6,"X20052006","New South Wales",273,296
6,"X20052006","Queensland",273,655
6,"X20052006","Victoria",273,0.7
6,"X20062007","New South Wales",273,348
6,"X20062007","Queensland",273,1521
6,"X20062007","Victoria",273,16.3
6,"X20072008","New South Wales",273,796
6,"X20072008","Queensland",273,1128
6,"X20072008","Victoria",273,4.5
6,"X20082009","New South Wales",273,102
6,"X20082009","Queensland",273,999
6,"X20082009","Victoria",273,1.6
6,"X20092010","New South Wales",273,227
6,"X20092010","Queensland",273,1017
6,"X20092010","Victoria",273,5.4
6,"X20102011","New South Wales",273,93.1
6,"X20102011","Queensland",273,515
6,"X20102011","Victoria",273,1.6
6,"X20112012","New South Wales",273,106
6,"X20112012","Queensland",273,1600
6,"X20112012","Victoria",273,13.4
6,"X20122013","New South Wales",273,350
6,"X20122013","Queensland",273,2593
6,"X20122013","Victoria",273,4.5
6,"X20132014","New South Wales",273,233
6,"X20132014","Queensland",273,1543
6,"X20132014","Victoria",273,1.6
6,"X20142015","New South Wales",273,232
6,"X20142015","Queensland",273,699
