"DOY","State","name","value"
26,"New South Wales","X20112012",25
26,"New South Wales","X20122013",5
26,"New South Wales","X20132014",18
26,"New South Wales","X20142015",3
26,"New South Wales","X20152016",1
26,"New South Wales","X20162017",46
26,"New South Wales","X20172018",86
26,"New South Wales","X20182019",53
26,"New South Wales","X20192020",16
27,"New South Wales","X20022003",72
27,"New South Wales","X20032004",32
27,"New South Wales","X20042005",6
27,"New South Wales","X20052006",53
27,"New South Wales","X20062007",3
27,"New South Wales","X20072008",27
27,"New South Wales","X20082009",4
27,"New South Wales","X20092010",40
27,"New South Wales","X20102011",5
27,"New South Wales","X20112012",54
27,"New South Wales","X20122013",17
27,"New South Wales","X20132014",29
27,"New South Wales","X20142015",29
27,"New South Wales","X20152016",3
27,"New South Wales","X20162017",0.1
27,"New South Wales","X20172018",59
27,"New South Wales","X20182019",65
27,"New South Wales","X20192020",67
28,"New South Wales","X20022003",28
28,"New South Wales","X20032004",41
28,"New South Wales","X20042005",8
28,"New South Wales","X20052006",40
28,"New South Wales","X20062007",4
28,"New South Wales","X20072008",26
28,"New South Wales","X20082009",1
28,"New South Wales","X20092010",22
28,"New South Wales","X20102011",1
28,"New South Wales","X20112012",31
28,"New South Wales","X20122013",10
28,"New South Wales","X20132014",11
28,"New South Wales","X20142015",46
28,"New South Wales","X20152016",10
28,"New South Wales","X20162017",18
28,"New South Wales","X20172018",55
28,"New South Wales","X20182019",13
28,"New South Wales","X20192020",48
29,"New South Wales","X20022003",23
29,"New South Wales","X20032004",57
29,"New South Wales","X20042005",12
29,"New South Wales","X20052006",23
29,"New South Wales","X20062007",17
29,"New South Wales","X20072008",7
29,"New South Wales","X20082009",3
29,"New South Wales","X20092010",47
29,"New South Wales","X20102011",1
29,"New South Wales","X20112012",72
29,"New South Wales","X20122013",14
29,"New South Wales","X20132014",12
29,"New South Wales","X20142015",59
29,"New South Wales","X20152016",6
29,"New South Wales","X20162017",48
29,"New South Wales","X20172018",89
29,"New South Wales","X20182019",31
29,"New South Wales","X20192020",22
30,"New South Wales","X20022003",23
30,"New South Wales","X20032004",31
30,"New South Wales","X20042005",39
30,"New South Wales","X20052006",54
30,"New South Wales","X20062007",33
30,"New South Wales","X20072008",35
30,"New South Wales","X20082009",15
30,"New South Wales","X20092010",27
30,"New South Wales","X20102011",1
30,"New South Wales","X20112012",11
30,"New South Wales","X20122013",5
30,"New South Wales","X20132014",14
30,"New South Wales","X20142015",75
30,"New South Wales","X20152016",8
30,"New South Wales","X20162017",29
30,"New South Wales","X20172018",24
30,"New South Wales","X20182019",73
30,"New South Wales","X20192020",17
31,"New South Wales","X20022003",6
31,"New South Wales","X20032004",47
31,"New South Wales","X20042005",18
31,"New South Wales","X20052006",37
31,"New South Wales","X20062007",21
31,"New South Wales","X20072008",74
31,"New South Wales","X20082009",10
31,"New South Wales","X20092010",25
31,"New South Wales","X20102011",0.1
31,"New South Wales","X20112012",21
31,"New South Wales","X20122013",47
31,"New South Wales","X20132014",13
31,"New South Wales","X20142015",109
31,"New South Wales","X20152016",14
31,"New South Wales","X20162017",56
31,"New South Wales","X20172018",46
31,"New South Wales","X20182019",105
