"Date","name","value","DateNum"
"2019-08-11","BARGO",37,10
"2019-08-11","ALBURY",13,10
"2019-08-11","BATHURST",9,10
"2019-08-11","OAKDALE",38,10
"2019-08-11","PROSPECT",35,10
"2019-08-11","SINGLETON",39,10
"2019-08-11","CAMBERWELL",76,10
"2019-08-11","BULGA",22,10
"2019-08-11","WYBONG",17,10
"2019-08-11","ABERDEEN",19,10
"2019-08-11","WARKWORTH",25,10
"2019-08-11","CAMDEN",37,10
"2019-08-11","NARRABRI",25,10
"2019-08-11","GUNNEDAH",37,10
"2019-08-11","ARMIDALE",37,10
"2019-08-11","ORANGE",6,10
"2019-08-11","GOULBURN",-1,10
"2019-08-12","RANDWICK",40,11
"2019-08-12","LIVERPOOL",26,11
"2019-08-12","BRINGELLY",40,11
"2019-08-12","CHULLORA",60,11
"2019-08-12","EARLWOOD",37,11
"2019-08-12","WYONG",39,11
"2019-08-12","CARRINGTON",41,11
"2019-08-12","STOCKTON",58,11
"2019-08-12","NEWCASTLE",39,11
"2019-08-12","BERESFIELD",39,11
"2019-08-12","TAMWORTH",47,11
"2019-08-12","WOLLONGONG",19,11
"2019-08-12","RICHMOND",41,11
"2019-08-12","BARGO",38,11
"2019-08-12","ALBURY",34,11
"2019-08-12","BATHURST",21,11
"2019-08-12","OAKDALE",39,11
"2019-08-12","PROSPECT",40,11
"2019-08-12","SINGLETON",45,11
"2019-08-12","CAMBERWELL",54,11
"2019-08-12","BULGA",21,11
"2019-08-12","WYBONG",12,11
"2019-08-12","ABERDEEN",17,11
"2019-08-12","WARKWORTH",21,11
"2019-08-12","CAMDEN",41,11
"2019-08-12","NARRABRI",7,11
"2019-08-12","GUNNEDAH",75,11
"2019-08-12","ARMIDALE",104,11
"2019-08-12","ORANGE",61,11
"2019-08-12","GOULBURN",-1,11
"2019-08-13","RANDWICK",39,12
"2019-08-13","LIVERPOOL",44,12
"2019-08-13","BRINGELLY",40,12
"2019-08-13","CHULLORA",45,12
"2019-08-13","EARLWOOD",43,12
"2019-08-13","WYONG",39,12
"2019-08-13","CARRINGTON",43,12
"2019-08-13","STOCKTON",68,12
"2019-08-13","NEWCASTLE",38,12
"2019-08-13","BERESFIELD",50,12
"2019-08-13","TAMWORTH",62,12
"2019-08-13","WOLLONGONG",22,12
"2019-08-13","RICHMOND",42,12
"2019-08-13","BARGO",37,12
"2019-08-13","ALBURY",38,12
"2019-08-13","BATHURST",30,12
"2019-08-13","OAKDALE",45,12
"2019-08-13","PROSPECT",37,12
"2019-08-13","SINGLETON",48,12
"2019-08-13","CAMBERWELL",53,12
"2019-08-13","BULGA",32,12
"2019-08-13","WYBONG",12,12
"2019-08-13","ABERDEEN",18,12
"2019-08-13","WARKWORTH",36,12
"2019-08-13","CAMDEN",39,12
"2019-08-13","NARRABRI",10,12
"2019-08-13","GUNNEDAH",94,12
"2019-08-13","ARMIDALE",165,12
"2019-08-13","ORANGE",152,12
"2019-08-13","GOULBURN",-1,12
"2019-08-14","RANDWICK",36,13
"2019-08-14","LIVERPOOL",84,13
"2019-08-14","BRINGELLY",52,13
"2019-08-14","CHULLORA",176,13
"2019-08-14","EARLWOOD",37,13
"2019-08-14","WYONG",53,13
"2019-08-14","CARRINGTON",66,13
"2019-08-14","STOCKTON",83,13
"2019-08-14","NEWCASTLE",56,13
"2019-08-14","BERESFIELD",57,13
"2019-08-14","TAMWORTH",51,13
"2019-08-14","WOLLONGONG",32,13
"2019-08-14","RICHMOND",496,13
"2019-08-14","BARGO",63,13
"2019-08-14","ALBURY",30,13
"2019-08-14","BATHURST",31,13
"2019-08-14","OAKDALE",57,13
"2019-08-14","PROSPECT",87,13
"2019-08-14","SINGLETON",63,13
"2019-08-14","CAMBERWELL",78,13
"2019-08-14","BULGA",23,13
"2019-08-14","WYBONG",15,13
"2019-08-14","ABERDEEN",32,13
"2019-08-14","WARKWORTH",42,13
"2019-08-14","CAMDEN",42,13
"2019-08-14","NARRABRI",18,13
"2019-08-14","GUNNEDAH",81,13
"2019-08-14","ARMIDALE",191,13
"2019-08-14","ORANGE",68,13
"2019-08-14","GOULBURN",-1,13
"2019-08-15","RANDWICK",50,14
"2019-08-15","LIVERPOOL",67,14
"2019-08-15","BRINGELLY",68,14
"2019-08-15","CHULLORA",89,14
"2019-08-15","EARLWOOD",63,14
"2019-08-15","WYONG",45,14
"2019-08-15","CARRINGTON",60,14
"2019-08-15","STOCKTON",92,14
"2019-08-15","NEWCASTLE",54,14
"2019-08-15","BERESFIELD",57,14
"2019-08-15","TAMWORTH",56,14
"2019-08-15","WOLLONGONG",26,14
"2019-08-15","RICHMOND",156,14
"2019-08-15","BARGO",40,14
"2019-08-15","ALBURY",28,14
"2019-08-15","BATHURST",26,14
"2019-08-15","OAKDALE",42,14
"2019-08-15","PROSPECT",81,14
"2019-08-15","SINGLETON",67,14
"2019-08-15","CAMBERWELL",92,14
"2019-08-15","BULGA",44,14
"2019-08-15","WYBONG",19,14
"2019-08-15","ABERDEEN",28,14
"2019-08-15","WARKWORTH",46,14
"2019-08-15","CAMDEN",40,14
"2019-08-15","NARRABRI",23,14
"2019-08-15","GUNNEDAH",77,14
"2019-08-15","ARMIDALE",137,14
"2019-08-15","ORANGE",94,14
"2019-08-15","GOULBURN",-1,14
"2019-08-16","RANDWICK",42,15
"2019-08-16","LIVERPOOL",87,15
"2019-08-16","BRINGELLY",46,15
"2019-08-16","CHULLORA",47,15
"2019-08-16","EARLWOOD",45,15
"2019-08-16","WYONG",44,15
"2019-08-16","CARRINGTON",65,15
"2019-08-16","STOCKTON",117,15
"2019-08-16","NEWCASTLE",48,15
"2019-08-16","BERESFIELD",64,15
"2019-08-16","TAMWORTH",49,15
"2019-08-16","WOLLONGONG",21,15
"2019-08-16","RICHMOND",75,15
"2019-08-16","BARGO",41,15
"2019-08-16","ALBURY",45,15
"2019-08-16","BATHURST",38,15
"2019-08-16","OAKDALE",44,15
"2019-08-16","PROSPECT",44,15
"2019-08-16","SINGLETON",76,15
"2019-08-16","CAMBERWELL",134,15
"2019-08-16","BULGA",26,15
"2019-08-16","WYBONG",22,15
"2019-08-16","ABERDEEN",35,15
"2019-08-16","WARKWORTH",50,15
"2019-08-16","CAMDEN",42,15
"2019-08-16","NARRABRI",19,15
"2019-08-16","GUNNEDAH",78,15
"2019-08-16","ARMIDALE",114,15
"2019-08-16","ORANGE",133,15
"2019-08-16","GOULBURN",-1,15
"2019-08-17","RANDWICK",38,16
"2019-08-17","LIVERPOOL",45,16
"2019-08-17","BRINGELLY",45,16
"2019-08-17","CHULLORA",36,16
"2019-08-17","EARLWOOD",37,16
"2019-08-17","WYONG",46,16
"2019-08-17","CARRINGTON",57,16
"2019-08-17","STOCKTON",84,16
"2019-08-17","NEWCASTLE",53,16
"2019-08-17","BERESFIELD",51,16
"2019-08-17","TAMWORTH",53,16
"2019-08-17","WOLLONGONG",28,16
"2019-08-17","RICHMOND",51,16
"2019-08-17","BARGO",41,16
"2019-08-17","ALBURY",48,16
"2019-08-17","BATHURST",31,16
"2019-08-17","OAKDALE",42,16
"2019-08-17","PROSPECT",41,16
"2019-08-17","SINGLETON",64,16
"2019-08-17","CAMBERWELL",112,16
"2019-08-17","BULGA",42,16
"2019-08-17","WYBONG",40,16
"2019-08-17","ABERDEEN",45,16
"2019-08-17","WARKWORTH",71,16
"2019-08-17","CAMDEN",39,16
"2019-08-17","NARRABRI",21,16
"2019-08-17","GUNNEDAH",71,16
"2019-08-17","ARMIDALE",135,16
"2019-08-17","ORANGE",143,16
"2019-08-17","GOULBURN",-1,16
"2019-08-18","RANDWICK",44,17
"2019-08-18","LIVERPOOL",64,17
"2019-08-18","BRINGELLY",53,17
"2019-08-18","CHULLORA",50,17
"2019-08-18","EARLWOOD",44,17
"2019-08-18","WYONG",41,17
"2019-08-18","CARRINGTON",57,17
"2019-08-18","STOCKTON",73,17
"2019-08-18","NEWCASTLE",47,17
"2019-08-18","BERESFIELD",52,17
"2019-08-18","TAMWORTH",41,17
"2019-08-18","WOLLONGONG",35,17
"2019-08-18","RICHMOND",63,17
"2019-08-18","BARGO",46,17
"2019-08-18","ALBURY",43,17
"2019-08-18","BATHURST",47,17
"2019-08-18","OAKDALE",49,17
"2019-08-18","PROSPECT",54,17
"2019-08-18","SINGLETON",59,17
"2019-08-18","CAMBERWELL",58,17
"2019-08-18","BULGA",74,17
"2019-08-18","WYBONG",34,17
"2019-08-18","ABERDEEN",40,17
"2019-08-18","WARKWORTH",55,17
"2019-08-18","CAMDEN",48,17
"2019-08-18","NARRABRI",23,17
"2019-08-18","GUNNEDAH",45,17
"2019-08-18","ARMIDALE",102,17
"2019-08-18","ORANGE",87,17
"2019-08-18","GOULBURN",-1,17
"2019-08-19","RANDWICK",43,18
"2019-08-19","LIVERPOOL",33,18
"2019-08-19","BRINGELLY",39,18
"2019-08-19","CHULLORA",40,18
"2019-08-19","EARLWOOD",24,18
"2019-08-19","WYONG",53,18
"2019-08-19","CARRINGTON",44,18
"2019-08-19","STOCKTON",65,18
"2019-08-19","NEWCASTLE",39,18
"2019-08-19","BERESFIELD",55,18
"2019-08-19","TAMWORTH",113,18
"2019-08-19","WOLLONGONG",20,18
"2019-08-19","RICHMOND",40,18
"2019-08-19","BARGO",37,18
"2019-08-19","ALBURY",16,18
"2019-08-19","BATHURST",26,18
"2019-08-19","OAKDALE",40,18
"2019-08-19","PROSPECT",37,18
"2019-08-19","SINGLETON",82,18
"2019-08-19","CAMBERWELL",121,18
"2019-08-19","BULGA",48,18
"2019-08-19","WYBONG",84,18
"2019-08-19","ABERDEEN",94,18
"2019-08-19","WARKWORTH",71,18
"2019-08-19","CAMDEN",38,18
"2019-08-19","NARRABRI",240,18
"2019-08-19","GUNNEDAH",107,18
"2019-08-19","ARMIDALE",77,18
"2019-08-19","ORANGE",24,18
"2019-08-19","GOULBURN",-1,18
"2019-08-20","RANDWICK",36,19
"2019-08-20","LIVERPOOL",30,19
"2019-08-20","BRINGELLY",38,19
"2019-08-20","CHULLORA",34,19
"2019-08-20","EARLWOOD",37,19
"2019-08-20","WYONG",38,19
"2019-08-20","CARRINGTON",33,19
"2019-08-20","STOCKTON",47,19
"2019-08-20","NEWCASTLE",27,19
"2019-08-20","BERESFIELD",46,19
"2019-08-20","TAMWORTH",39,19
"2019-08-20","WOLLONGONG",16,19
"2019-08-20","RICHMOND",40,19
"2019-08-20","BARGO",36,19
"2019-08-20","ALBURY",17,19
"2019-08-20","BATHURST",20,19
"2019-08-20","OAKDALE",39,19
"2019-08-20","PROSPECT",36,19
"2019-08-20","SINGLETON",62,19
"2019-08-20","CAMBERWELL",113,19
"2019-08-20","BULGA",28,19
"2019-08-20","WYBONG",22,19
"2019-08-20","ABERDEEN",31,19
